Address,Amount,Timestamp,Term
0xc5a80085e91a4ba2ad1dc03e55a97a39a2cc7749,2550000000000000000000,1651143126,3
0x12d221c0984ae142ca77170b1a583b1ede1d27a7,1500000000000000000000,1651155317,3
0xfe47c17fcf928e9b5a69bec5cf72b736857526bd,1733000000000000000000,1651157361,2
0xfe319dfaa29ac922447aeece9e11713a8d7b591a,1500000000000000000000,1651160928,3
0x989303a0a5a60956267bca39f5441863cb46c6f2,1733000000000000000000,1651168420,1
0x6313f34bb7e25f290a20863e06f1626189891948,350000000000000000000,1651171625,1
0x337539bfcf5119f45e884a705ff3214974190814,4012000000000000000000,1651180256,3
0x11c861d271cfd353c6dcf8bd939be5d896d4c1cd,1455000000000000000000,1651196364,3
0x2f0a5816cfb1bf40d08dc8596b1a850cce80c217,3000000000000000000000,1651205886,3
0xf864e43921d2c19f21756e1eb8f32ba9b92d6376,25531000000000000000000,1651265795,1
0x8b3da5dd671fbf4378df0a6b359cc7ba93b70260,1200000000000000000000,1651294935,3
0x27d40832da30f1d5062c5682903886fe7213e336,20718000000000000000000,1651354027,2
